variable,estimate,Std. Error,df,t value,pval,gene,FDR
median_cv_coverage,5.588890093503158,0.3029687678151886,28.999999999149683,18.447083287846983,1.4502027774626076e-17,module_03,6.235871943089213e-16
median_cv_coverage,6.78945928891413,0.3416488153338634,25.72521046452944,19.872626463754564,3.9419198472802515e-17,module_12,8.475127671652541e-16
median_cv_coverage,-3.9529964014746644,0.20124439247200743,25.319546874028656,-19.642765460033953,7.644828506306599e-17,module_25,1.0957587525706126e-15
median_cv_coverage,-3.67290705912302,0.23914417824230352,28.041866569042515,-15.358546823588531,3.5075125022889225e-15,module_08,3.7705759399605914e-14
median_cv_coverage,5.520080392254049,0.3831870311409808,28.958650264741795,14.405707771000008,9.73354710116588e-15,module_17,8.370850507002657e-14
median_cv_coverage,6.082553876000121,0.2356806307155316,15.59064601726262,25.80845891973962,3.259459637786419e-14,module_13,2.335946073746934e-13
median_cv_coverage,-3.204922174236303,0.24951126292414033,28.905026260673576,-12.84479961616284,1.7947672169870714e-13,module_19,1.1024998618634869e-12
median_cv_coverage,4.3480540252505255,0.3828051273441963,26.891979261246103,11.358400697023596,9.091447097201917e-12,module_26,4.8866528147460306e-11
median_cv_coverage,5.289374596635959,0.3883854775649926,19.801170193966797,13.618878413781145,1.6313776803697554e-11,module_07,7.794360028433276e-11
median_cv_coverage,-2.429500065501894,0.28440722554256703,28.999934339392787,-8.5423289118872,2.0705877484640084e-9,module_23,8.903527318395236e-9
median_cv_coverage,-4.143781712783462,0.44643831206190326,21.910299516389493,-9.281868515372588,4.776431047711551e-9,module_31,1.867150318650879e-8
median_cv_coverage,-5.170880336499373,0.6350643596003757,28.949644980163338,-8.142293388583846,5.6707537480756e-9,module_37,2.0320200930604232e-8
median_cv_coverage,-3.5514827006814054,0.46392175182156475,28.974775225726308,-7.655348529653314,1.9420815607869498e-08,module_10,6.116727425594377e-8
median_cv_coverage,-4.368578879383146,0.5404438200612615,24.91876371864359,-8.08331729815682,1.991492650193518e-8,module_35,6.116727425594377e-8
median_cv_coverage,-3.3360838429712802,0.41185404387954927,22.27158246450553,-8.100160463513502,4.385837180878571e-8,module_05,1.2572733251851904e-7
median_cv_coverage,3.6191660880603895,0.41686382107280234,18.621397916124586,8.681890596181834,5.7230272267164956e-8,module_30,1.538063567180058e-7
median_cv_coverage,-3.6031603630702738,0.49404800962318635,24.851651231829184,-7.293138101737173,1.2606644382701852e-7,module_28,3.188739461506939e-7
median_cv_coverage,2.837461654281914,0.4172762688729978,28.937913533693823,6.799959321783343,1.8427664702952687e-7,module_20,4.402164345705364e-7
log10viral_load,-0.4739342002855569,0.060718359440127205,22.925354181930523,-7.805451343804687,6.674242709917321e-8,module_17,1.4349621826322242e-6
log10viral_load,0.6252210251408874,0.08555733740025362,28.84257804764715,7.307626021786812,4.919501022623804e-8,module_30,1.4349621826322242e-6
log10viral_load,0.8384724655270375,0.11259151940020695,22.71985078286165,7.447030380207271,1.5485845127359277e-7,module_02,1.7023279531473876e-6
log10viral_load,1.6643605724887,0.23825648209084704,27.205367069566414,6.985583594128954,1.5835608866487326e-7,module_09,1.7023279531473876e-6
log10viral_load,-0.5666210465830873,0.08249767672466246,25.852488430492812,-6.868327316346079,2.8102503973537487e-7,module_22,2.4168153417242237e-6
log10viral_load,0.2788320975129963,0.04041427622342093,24.211789353612154,6.899346556932949,3.7201201737446556e-07,module_19,2.6660861245170033e-6
log10viral_load,0.62667282674831,0.10104327813510852,27.86682972480574,6.202023908115528,1.0864714607386173e-6,module_15,6.6740389731086495e-6
log10viral_load,-0.5440940032255561,0.09160320449942218,27.1973302028637,-5.939683073303273,2.4108824368268108e-6,module_01,1.2958493097944108e-5
log10viral_load,0.2786670875966936,0.04542622256764402,22.552861786892528,6.134498354595333,3.202142518722537e-6,module_23,1.3769212830506909e-5
log10viral_load,-0.796907161516054,0.13661206332312217,27.383380657560625,-5.833358651725847,3.1166724258671326e-6,module_39,1.3769212830506909e-5
log10viral_load,-0.556683977687317,0.1045922855084196,27.347975269732537,-5.322419096028878,1.2335166645975486e-5,module_29,4.8219287797904174e-5
log10viral_load,0.49107132092484285,0.0961617642285931,28.962578885731098,5.106721209455784,1.8919581442475045e-5,module_27,6.779516683553558e-5
median_cv_coverage,-2.8581782275848853,0.5605395832466543,23.27023298443689,-5.098976616477771,3.5310194122901394e-5,module_40,7.991254459393473e-5
log10viral_load,-0.638976355957918,0.13136883930561694,27.58614207701074,-4.863987223571346,4.1685307005956374e-5,module_36,1.3788216932739415e-4
median_cv_coverage,1.9502311955803595,0.431375394902805,28.99791936882255,4.520960672825983,9.583267417248158e-5,module_24,2.060402494708354e-4
median_cv_coverage,2.070104785845733,0.4824157495772284,27.07861176688947,4.291121895709039,2.0305661076850027e-4,module_22,4.1578258395454814e-4
log10viral_load,0.6406525534881761,0.1357605569865454,18.71078891505842,4.718988841152649,1.5523999472726052e-4,module_33,4.7680855523372874e-4
median_cv_coverage,1.9553858579279182,0.41333165245795095,14.80969624477047,4.730791475319794,2.771703104464086e-4,module_27,5.417419704179804e-4
median_cv_coverage,-2.235570356437209,0.54013899088858075,22.27838482705249,-4.138879796030796,4.2057519033557094e-4,module_15,7.86292747149111e-4
log10viral_load,-0.35133601383816526,0.08469026736594568,28.136568377166057,-4.148481576047533,2.797245175796469e-4,module_31,8.018769503949878e-4
log10viral_load,-0.26326840201334506,0.06740868043723303,24.131886720640164,-3.905556380954305,6.635006277089881e-4,module_20,0.0017831579369679057
log10viral_load,-0.24294118398852227,0.06587806380049967,26.188015686248708,-3.687740197165291,0.0010409357581661037,module_26,0.0026329551530083796
log10viral_load,-0.7464467607808354,0.20799111141486848,21.711792109079404,-3.588839713885364,0.0016606867023168299,module_16,0.0038396318227031058
log10viral_load,-0.1244979369902465,0.03570913730078235,26.91556119585552,-3.4864448261963155,0.0016965815030548607,module_25,0.0038396318227031058
log10viral_load,0.3242860656793882,0.09124486685374736,20.21362480878949,3.5540198244704877,0.0019644165238671676,module_06,0.00422349552631441
median_cv_coverage,-1.6296895277837466,0.5095376246970235,27.255042931736376,-3.1983693623268303,0.0034889368269425494,module_14,0.0062510118149387344
median_cv_coverage,-1.8583006444809878,0.5784407062203824,24.39446543426532,-3.21260351233474,0.0036755022601339432,module_29,0.006321863887430382
log10viral_load,0.3794250362937418,0.11952310954924153,26.730356540613553,3.174491006171698,0.0037582146837481156,module_32,0.007695391971484236
median_cv_coverage,-2.144731823614021,0.7198030582244324,28.736176587582815,-2.9796092126984273,0.0058170494782761335,module_02,0.009584869489791033
median_cv_coverage,-2.570144379727709,0.8492654122494258,22.939326929453348,-3.026314674608305,0.006018406423822277,module_18,0.009584869489791033
median_cv_coverage,-2.0820977670558682,0.7065983466582154,21.87528970097435,-2.9466496446006936,0.007489245978586965,module_36,0.011501342038544268
TreatmentIFNb + RV16,-1.9515538995634687,0.5300266782422998,19.796018375393874,-3.681991831119344,0.0014982237480343917,module_01,0.012884724233095769
TreatmentIFNb + RV16,-1.2195701417160512,0.3262422951427175,18.424177480432128,-3.7382343119629526,0.0014552440632834601,module_17,0.012884724233095769
TreatmentIFNb + RV16,0.8528290318608204,0.21961523595812274,19.356926167288638,3.883287186975688,9.717681975491985e-4,module_19,0.012884724233095769
TreatmentIFNb + RV16,-1.7018581734060534,0.46147530817157595,19.73088586359493,-3.687863994606846,0.0014845164288521768,module_22,0.012884724233095769
TreatmentIFNb + RV16,2.1865312084690336,0.5319906127349117,22.031434257159987,4.110093592118648,4.5997455898608467e-4,module_30,0.012884724233095769
TreatmentIFNb + RV16,4.752771295061095,1.3718601354740556,20.41131797233715,3.464472195205776,0.002392932078151375,module_09,0.016123356661603524
TreatmentIFNb + RV16,0.8583644502606596,0.24507211898767156,17.540872434806687,3.5024973620268893,0.0026247324797959225,module_23,0.016123356661603524
median_cv_coverage,-1.3253416582960011,0.4688684452650895,18.746286644357912,-2.8266812827352408,0.010874846887114733,module_00,0.01612477297054943
log10viral_load,-0.19653597557034472,0.06905951757416932,23.8417211186926,-2.845892680314003,0.008957107563715646,module_24,0.017507073874535126
TreatmentIFNb + RV16,1.9792832528463804,0.6010122321078551,18.70347840854148,3.2932495332161333,0.0038846139671584665,module_02,0.01882933614269619
TreatmentIFNb + RV16,1.9303978325429465,0.5946985569680889,20.575462566727463,3.2460106215568474,0.003941023843820133,module_15,0.01882933614269619
log10viral_load,-0.4310671518912534,0.15657497896558675,20.837621227715854,-2.7531036870584322,0.011969801641943717,module_38,0.0223783248088513
log10viral_load,-0.1541556276864558,0.059645545244458725,26.143525175889717,-2.5845287699969073,0.015682524321998303,module_12,0.02697394183383708
log10viral_load,-0.22930764412655322,0.08854656471904374,27.165241189850857,-2.589684250926518,0.015257179817384598,module_28,0.02697394183383708
TreatmentIFNb + RV16:log10viral_load,0.4751627848222222,0.14394390225078516,19.872823197720997,3.3010275349793803,0.003590627539979863,module_01,0.027962452379877427
TreatmentIFNb + RV16:log10viral_load,-1.2616506622267896,0.37258570102171434,20.48292034656542,-3.3862025804185665,0.002860221245202813,module_09,0.027962452379877427
TreatmentIFNb + RV16:log10viral_load,-0.5044582972047988,0.16148025254855763,20.65683018373499,-3.1239627709469096,0.005202316721837661,module_15,0.027962452379877427
TreatmentIFNb + RV16:log10viral_load,0.29961916440904823,0.08866636121369283,18.470093460440246,3.379175149490377,0.0032481051260054047,module_17,0.027962452379877427
TreatmentIFNb + RV16:log10viral_load,-0.18909628086735086,0.05968009748092094,19.406362077103342,-3.168498190335611,0.004962799794164847,module_19,0.027962452379877427
TreatmentIFNb + RV16:log10viral_load,0.43131879110300797,0.1253684538303442,19.792332753581316,3.440409273027275,0.0026185546542313717,module_22,0.027962452379877427
TreatmentIFNb + RV16:log10viral_load,-0.21547683536127898,0.06660300179888662,17.59040058160458,-3.235242099326536,0.004698934564992014,module_23,0.027962452379877427
TreatmentIFNb + RV16:log10viral_load,-0.5662148460899724,0.14437000613636738,22.134831138280298,-3.921970090900624,7.227365982219556e-4,module_30,0.027962452379877427
TreatmentIFNb + RV16:log10viral_load,-0.5070261152951822,0.1633550133988336,18.745446687320975,-3.1038295351075065,0.005913529111205432,module_02,0.028253527975759286
log10viral_load,-0.18783562780899735,0.07303241157383983,20.774285018820702,-2.5719488616240622,0.017864777514408087,module_11,0.029545593581521066
TreatmentIFNb + RV16,-2.3649915108286534,0.7893094281755815,20.677685460804817,-2.996279312531615,0.006959205381517587,module_39,0.029924583140525624
log10viral_load,-0.1805366273367345,0.07616896432339242,28.473434640572254,-2.3702124472931754,0.02477730944436224,module_07,0.03946015948546579
log10viral_load,-0.46352195648614264,0.19649564911987302,25.95461469589103,-2.358942595229521,0.02613541902228055,module_34,0.04013653635564513
median_cv_coverage,-1.759566230113793,0.7540108647475754,24.279265527372438,-2.3336085889198075,0.028215194653082493,module_39,0.040441779002751574
median_cv_coverage,-3.038491645265973,1.3059430009872037,20.882123477654087,-2.3266648260828235,0.030131332764791366,module_04,0.041795074480194476
median_cv_coverage,-2.12676436236732,0.9370643681502906,22.599177903978,-2.269603278764538,0.03310021023643372,module_33,0.04447840750520781
log10viral_load,-0.17469662156373036,0.07672581967145926,27.74622095152718,-2.276894822522367,0.03070733366011124,module_05,0.045531563702923564
TreatmentIFNb + RV16:log10viral_load,0.5921259679544609,0.21436259265639748,20.74953166926015,2.762263511636014,0.011757297754615256,module_39,0.050556380344845595
median_cv_coverage,-1.9285978902856085,0.9179998176026685,28.977747114432304,-2.100869578952738,0.044466638571948124,module_41,0.057941377533144524
median_cv_coverage,-0.9240737522650395,0.44459652434579766,27.27384286752147,-2.078454737415614,0.04720033233553825,module_21,0.05969453795376896
log10viral_load,-0.17515558962367486,0.08665009330327997,25.531489109649062,-2.0214125911050194,0.05383730882869861,module_14,0.07716680932113468
TreatmentIFNb + RV16,-1.5228266192800253,0.6036148706974855,20.67418958065559,-2.5228447694146063,0.019915998362252118,module_29,0.07785344814334919
log10viral_load,-0.20496664375344648,0.10282759329248634,27.505693305428878,-1.9933039098798346,0.05623251090217491,module_40,0.07799993447721036
median_cv_coverage,-1.295457123742981,0.6695961392651886,24.412031988094263,-1.934684278742421,0.0646986593019195,module_32,0.07948692428521538
TreatmentIFNb + RV16,0.5411711108712012,0.21981245348598386,18.462002981066785,2.4619674740389925,0.023858561585288866,module_08,0.08157223412458466
TreatmentIFNb + RV16,-0.8978212639907199,0.3697869902312023,20.16699927900883,-2.4279417278292406,0.02466137310743257,module_26,0.08157223412458466
TreatmentIFNb + RV16,-1.1970449489637691,0.5025482394483693,21.091703711155503,-2.3819503382953364,0.026711483673437533,module_31,0.08204241413984385
TreatmentIFNb + RV16,1.4341209445315977,0.6426036627717683,23.72288192668985,2.231734780884606,0.035346720041286216,module_27,0.09941612558184197
TreatmentIFNb + RV16,1.580266652005761,0.6982404429737353,17.009968587664368,2.2632127197839838,0.03699204672812725,module_33,0.09941612558184197
log10viral_load,0.07333996723877365,0.03984997271322126,24.508793250664752,1.8404019437243233,0.07784967941882528,module_08,0.10461050671904648
TreatmentIFNb + RV16:log10viral_load,-0.1325339977934352,0.05972455386120455,18.5207607491423,-2.219087280273946,0.03918820169655137,module_08,0.12026825971552639
TreatmentIFNb + RV16:log10viral_load,0.21646273939916036,0.10045615186046467,20.228345240097266,2.1547982417227254,0.0434012703739495,module_26,0.12026825971552639
TreatmentIFNb + RV16:log10viral_load,-0.37222040696547204,0.1742191334490689,23.877441798401552,-2.1365070506121344,0.04309239242225756,module_27,0.12026825971552639
TreatmentIFNb + RV16:log10viral_load,0.3693767337386417,0.16393305185623316,20.745528603769877,2.2532169660489183,0.03520068406171876,module_29,0.12026825971552639
TreatmentIFNb + RV16:log10viral_load,0.3133169287339195,0.13644725669590882,21.174141001456036,2.296249381049768,0.031963254633738794,module_31,0.12026825971552639
TreatmentIFNb + RV16:log10viral_load,-0.4113277165015153,0.18986283717076216,17.03017157257909,-2.1664466971573177,0.044750980359265634,module_33,0.12026825971552639
median_cv_coverage,1.9034674804668248,1.1338111145073928,26.164186530439324,1.6788223859437335,0.10509231202992945,module_34,0.1255269282579713
TreatmentIFNb + RV16,0.7137526028855677,0.3526781511111453,23.436694362794423,2.023807260633594,0.05453561709732987,module_13,0.13546328610511735
TreatmentIFNb + RV16,-1.5598412211136237,0.7704051450510949,19.646461037576398,-2.024702497294682,0.05670556162539796,module_36,0.13546328610511735
TreatmentIFNb + RV16,-0.7156992999377237,0.3658009435880263,19.350215208679007,-1.9565266642498367,0.0649917751546554,module_20,0.1453459032380934
TreatmentIFNb + RV16,1.0596598410768117,0.5478789527069193,19.6892516357847,1.9341130661094454,0.067602745692136465,module_35,0.1453459032380934
