model,gene,variable,statistic,estimate,pval,FDR,hgnc_symbol
lme,ENSG00000000003,Treatment,seeContrasts,seeContrasts,1.9963389723879115e-13,2.1676289442849493e-12,TSPAN6
lme,ENSG00000000003,median_cv_coverage,seeContrasts,seeContrasts,6.755784351937237e-8,5.78386769032646e-7,TSPAN6
lme,ENSG00000000005,Treatment,seeContrasts,seeContrasts,9.637076061536836e-11,7.684058592023382e-10,TNMD
lme,ENSG00000000005,median_cv_coverage,seeContrasts,seeContrasts,0.23590359296157803,0.3673537399157926,TNMD
lme,ENSG00000000419,Treatment,seeContrasts,seeContrasts,0.11628474540059247,0.18060353886811406,DPM1
lme,ENSG00000000419,median_cv_coverage,seeContrasts,seeContrasts,8.487718639257091e-11,1.2653621405310455e-9,DPM1
lme,ENSG00000000457,Treatment,seeContrasts,seeContrasts,0.02757951336881557,0.052843570122590854,SCYL3
lme,ENSG00000000457,median_cv_coverage,seeContrasts,seeContrasts,0.5587613212019938,0.6853047875153058,SCYL3
lme,ENSG00000000460,Treatment,seeContrasts,seeContrasts,0.6419620493911057,0.7133559426939796,FIRRM
lme,ENSG00000000460,median_cv_coverage,seeContrasts,seeContrasts,0.03301860668727594,0.07393397755834719,FIRRM
lme,ENSG00000000938,Treatment,seeContrasts,seeContrasts,0.846998868092708,0.8826789173709845,FGR
lme,ENSG00000000938,median_cv_coverage,seeContrasts,seeContrasts,0.727964827032079,0.8187609148666365,FGR
lme,ENSG00000000971,Treatment,seeContrasts,seeContrasts,8.082819868257272e-75,1.4778553522341197e-72,CFH
lme,ENSG00000000971,median_cv_coverage,seeContrasts,seeContrasts,5.963992101875416e-13,1.3085612038119029e-11,CFH
lme,ENSG00000001036,Treatment,seeContrasts,seeContrasts,2.668082936038592e-12,2.552086305686463e-11,FUCA2
lme,ENSG00000001036,median_cv_coverage,seeContrasts,seeContrasts,0.7589452807397686,0.84135079662189,FUCA2
lme,ENSG00000001084,Treatment,seeContrasts,seeContrasts,1.0826383428817824e-9,7.626894650230518e-9,GCLC
lme,ENSG00000001084,median_cv_coverage,seeContrasts,seeContrasts,0.05491152270534441,0.11320342038282966,GCLC
lme,ENSG00000001167,Treatment,seeContrasts,seeContrasts,0.4477877012422624,0.5390871841111533,NFYA
lme,ENSG00000001167,median_cv_coverage,seeContrasts,seeContrasts,0.023359877851005673,0.054895195298559206,NFYA
lme,ENSG00000001460,Treatment,seeContrasts,seeContrasts,1.1219632462804756e-5,4.456197093279282e-5,STPG1
lme,ENSG00000001460,median_cv_coverage,seeContrasts,seeContrasts,0.06906987683840987,0.13725103446203446,STPG1
lme,ENSG00000001461,Treatment,seeContrasts,seeContrasts,3.009678676145191e-8,1.7440786412182715e-7,NIPAL3
lme,ENSG00000001461,median_cv_coverage,seeContrasts,seeContrasts,8.367179985349003e-5,3.7302895747462613e-4,NIPAL3
lme,ENSG00000001497,Treatment,seeContrasts,seeContrasts,0.025236750165999373,0.048928525630862266,LAS1L
lme,ENSG00000001497,median_cv_coverage,seeContrasts,seeContrasts,3.389923840294144e-8,3.0725651582654674e-7,LAS1L
lme,ENSG00000001561,Treatment,seeContrasts,seeContrasts,3.16069912544174e-4,9.66312531009067e-4,ENPP4
lme,ENSG00000001561,median_cv_coverage,seeContrasts,seeContrasts,0.0028292602930421232,0.008673163129971297,ENPP4
lme,ENSG00000001617,Treatment,seeContrasts,seeContrasts,0.3016711865167546,0.39392122515613787,SEMA3F
lme,ENSG00000001617,median_cv_coverage,seeContrasts,seeContrasts,0.005544932356965106,0.015750578393257844,SEMA3F
lme,ENSG00000001626,Treatment,seeContrasts,seeContrasts,2.386159733617902e-6,1.0558176045246167e-5,CFTR
lme,ENSG00000001626,median_cv_coverage,seeContrasts,seeContrasts,0.010652831228370581,0.027845713951838942,CFTR
lme,ENSG00000001629,Treatment,seeContrasts,seeContrasts,2.485790949695433e-12,2.3881701029323794e-11,ANKIB1
lme,ENSG00000001629,median_cv_coverage,seeContrasts,seeContrasts,1.861539502352428e-4,7.61612882302471e-4,ANKIB1
lme,ENSG00000001630,Treatment,seeContrasts,seeContrasts,8.770067735519326e-6,3.5380539555898024e-5,CYP51A1
lme,ENSG00000001630,median_cv_coverage,seeContrasts,seeContrasts,0.2652745508742821,0.40105282177538687,CYP51A1
lme,ENSG00000001631,Treatment,seeContrasts,seeContrasts,0.03175437178531485,0.059777968027826825,KRIT1
lme,ENSG00000001631,median_cv_coverage,seeContrasts,seeContrasts,1.0148323131051473e-29,2.152391680608477e-27,KRIT1
lme,ENSG00000002016,Treatment,seeContrasts,seeContrasts,0.2943663287782722,0.38631178878607175,RAD52
lme,ENSG00000002016,median_cv_coverage,seeContrasts,seeContrasts,1.3248805207951265e-8,1.2977139436137978e-7,RAD52
lme,ENSG00000002330,Treatment,seeContrasts,seeContrasts,0.5866420354032935,0.6652680442831818,BAD
lme,ENSG00000002330,median_cv_coverage,seeContrasts,seeContrasts,4.2469350519228e-7,3.1017445303460048e-6,BAD
lme,ENSG00000002549,Treatment,seeContrasts,seeContrasts,4.525728083194947e-155,1.7997689154845508e-152,LAP3
lme,ENSG00000002549,median_cv_coverage,seeContrasts,seeContrasts,0.7173954915061469,0.8107139871688178,LAP3
lme,ENSG00000002586,Treatment,seeContrasts,seeContrasts,2.145656224883438e-32,1.1569814769227407e-30,CD99
lme,ENSG00000002586,median_cv_coverage,seeContrasts,seeContrasts,0.7957507625652588,0.8687123313516967,CD99
lme,ENSG00000002587,Treatment,seeContrasts,seeContrasts,1.4919595313455107e-7,7.824794020808784e-7,HS3ST1
lme,ENSG00000002587,median_cv_coverage,seeContrasts,seeContrasts,0.3105631216925072,0.4521442043531679,HS3ST1
lme,ENSG00000002726,Treatment,seeContrasts,seeContrasts,0.28426707431913867,0.37569261807864235,AOC1
lme,ENSG00000002726,median_cv_coverage,seeContrasts,seeContrasts,0.43653077129480305,0.5793806333693909,AOC1
lme,ENSG00000002745,Treatment,seeContrasts,seeContrasts,3.0634957845325917e-8,1.773972604461592e-7,WNT16
lme,ENSG00000002745,median_cv_coverage,seeContrasts,seeContrasts,0.7259143050382987,0.8172058634284655,WNT16
lme,ENSG00000002746,Treatment,seeContrasts,seeContrasts,0.5534766561432309,0.6364141368563231,HECW1
lme,ENSG00000002746,median_cv_coverage,seeContrasts,seeContrasts,0.034277863051526705,0.07627052280887332,HECW1
