model,gene,variable,statistic,estimate,pval,FDR,hgnc_symbol
lme,module_00,Treatment,seeContrasts,seeContrasts,0.7208951124883514,0.7208951124883514,NA
lme,module_00,median_cv_coverage,seeContrasts,seeContrasts,0.004706778245203294,0.008095658581749666,NA
lme,module_01,Treatment,seeContrasts,seeContrasts,5.879519682376125e-13,1.6854623089478224e-12,NA
lme,module_01,median_cv_coverage,seeContrasts,seeContrasts,0.09852039567041883,0.11449667604940565,NA
lme,module_02,Treatment,seeContrasts,seeContrasts,1.0641300121946556e-19,9.151518104874039e-19,NA
lme,module_02,median_cv_coverage,seeContrasts,seeContrasts,0.2369075458897461,0.26120575572459187,NA
lme,module_03,Treatment,seeContrasts,seeContrasts,0.06702278681924877,0.07389691880071018,NA
lme,module_03,median_cv_coverage,seeContrasts,seeContrasts,3.316801711446224e-101,7.131123679609381e-100,NA
lme,module_04,Treatment,seeContrasts,seeContrasts,0.28461622578593454,0.29849994411695574,NA
lme,module_04,median_cv_coverage,seeContrasts,seeContrasts,0.02612632829919992,0.037447737228853216,NA
lme,module_05,Treatment,seeContrasts,seeContrasts,0.0018686194726753548,0.002363254038971772,NA
lme,module_05,median_cv_coverage,seeContrasts,seeContrasts,1.967505410171957e-21,9.400303626377126e-21,NA
lme,module_06,Treatment,seeContrasts,seeContrasts,5.9100949309392736e-6,9.076217215371028e-6,NA
lme,module_06,median_cv_coverage,seeContrasts,seeContrasts,0.04065908263308114,0.05142178097713203,NA
lme,module_07,Treatment,seeContrasts,seeContrasts,1.8639605217198883e-6,3.0827039397675073e-6,NA
lme,module_07,median_cv_coverage,seeContrasts,seeContrasts,1.2655321331356117e-40,9.069646954138551e-40,NA
lme,module_08,Treatment,seeContrasts,seeContrasts,5.844023351330323e-12,1.3960722450400216e-11,NA
lme,module_08,median_cv_coverage,seeContrasts,seeContrasts,1.7044338452859642e-62,1.4658131069459292e-61,NA
lme,module_09,Treatment,seeContrasts,seeContrasts,2.6384351438453695e-67,1.134527111853509e-65,NA
lme,module_09,median_cv_coverage,seeContrasts,seeContrasts,0.11029106434540294,0.12480304649611385,NA
lme,module_10,Treatment,seeContrasts,seeContrasts,1.2111759401506228e-11,2.604028271323839e-11,NA
lme,module_10,median_cv_coverage,seeContrasts,seeContrasts,3.4174326060840978e-18,1.2245800171801351e-17,NA
lme,module_11,Treatment,seeContrasts,seeContrasts,5.413116079301148e-4,7.508515851933851e-4,NA
lme,module_11,median_cv_coverage,seeContrasts,seeContrasts,0.025150196466701608,0.03729167062304032,NA
lme,module_12,Treatment,seeContrasts,seeContrasts,0.001564624132989015,0.002038752658137201,NA
lme,module_12,median_cv_coverage,seeContrasts,seeContrasts,6.722736009943125e-92,9.635921614251812e-91,NA
lme,module_13,Treatment,seeContrasts,seeContrasts,0.0013875574265873685,0.0018645302919767764,NA
lme,module_13,median_cv_coverage,seeContrasts,seeContrasts,1.5389321511106708e-196,6.6174082497758844e-195,NA
