model,gene,variable,df,statistic,contrast_ref,contrast_lvl,estimate,pval,FDR,std.error,hgnc_symbol
lme.contrast,module_00,Treatment,33.982706926034155,0.491899815031558,(None + None),(None + RV16),-0.0145516382853295,0.6259528218875289,0.6564871058820425,0.029582524409763965,NA
lme.contrast,module_00,Treatment,33.19008283018205,1.09073524091883,(None + None),(CXCL10 + RV16),-0.0318420893998279,0.2832448868619958,0.29706171061136144,0.02919323425637582,NA
lme.contrast,module_00,Treatment,32.40446626749685,0.824684845991137,(None + None),(IFNb + RV16),-0.0237688365292728,0.4155801081884588,0.49638735144732576,0.028821720982039504,NA
lme.contrast,module_00,Treatment,32.41451151865037,0.599813244789643,(None + RV16),(CXCL10 + RV16),-0.0172904511144984,0.5528009557593268,0.9343293502360811,0.028826390988685578,NA
lme.contrast,module_00,Treatment,33.21563694573388,0.315597543190586,(None + RV16),(IFNb + RV16),-0.00921719824394332,0.7542824803158679,0.8108536663395579,0.029205544982259773,NA
lme.contrast,module_00,Treatment,32.64509615417743,-0.279021707353785,(CXCL10 + RV16),(IFNb + RV16),0.0080732528705551,0.7819882237171848,0.8621921440984346,0.0289341390213724,NA
lme.contrast,module_01,Treatment,33.992589944323996,6.49719551021757,(None + None),(None + RV16),-0.312070323682649,1.9636949112811123e-7,4.96699301088752e-7,0.04803154271591235,NA
lme.contrast,module_01,Treatment,33.26198784252919,6.37345058724373,(None + None),(CXCL10 + RV16),-0.303197837026961,3.1173501647099726e-7,8.377878567658052e-7,0.04757200716889571,NA
lme.contrast,module_01,Treatment,32.546854632656945,6.1031211143747,(None + None),(IFNb + RV16),-0.287670829097202,7.528054577104569e-7,4.046329335193706e-6,0.047135035288690175,NA
lme.contrast,module_01,Treatment,32.555944567737306,-0.188213599718858,(None + RV16),(CXCL10 + RV16),0.00887248665568802,0.8518775039720203,0.9343293502360811,0.0471405183734927,NA
lme.contrast,module_01,Treatment,33.285396600366695,-0.512739697210496,(None + RV16),(IFNb + RV16),0.0243994945854477,0.6115195874838025,0.6919826911000924,0.04758651362122035,NA
