model,gene,variable,statistic,estimate,pval,FDR,hgnc_symbol
lme,module_00,log10viral_load,1.060546443513691,-0.006125533565260703,0.3030905869600498,0.3103070295067176,NA
lme,module_00,median_cv_coverage,7.6703635119926385,-1.1444536569702028,0.005613514695402496,0.009283889688550281,NA
lme,module_01,log10viral_load,83.30839171368048,-0.08087947436309732,7.02009641478986e-20,3.354046064844044e-19,NA
lme,module_01,median_cv_coverage,2.4787005183189423,-0.8341101687106428,0.11539756035461116,0.13411067824995349,NA
lme,module_02,log10viral_load,80.98094117642556,0.12948500114511413,2.2790510858881685e-19,8.166599724432604e-19,NA
lme,module_02,median_cv_coverage,1.1202929792329932,-1.1058361331729174,0.2898553766891178,0.3279942420429491,NA
lme,module_03,log10viral_load,2.8162019469949633,0.009667650156449294,0.09331697525211842,0.1084494577254349,NA
lme,module_03,median_cv_coverage,445.08118523407785,5.611505460044551,8.483962239243647e-99,1.824051881437384e-97,NA
lme,module_04,log10viral_load,2.2035599144319944,0.02623015690733078,0.13769242603874468,0.15580985051752688,NA
lme,module_04,median_cv_coverage,4.460207649825014,-2.5523340343844354,0.034693279878237074,0.043876795140123354,NA
lme,module_05,log10viral_load,13.580370085070708,-0.017767705445466093,2.2856316883792185e-4,3.170392341945368e-4,NA
lme,module_05,median_cv_coverage,95.9564769805307,-3.5606442420977595,1.1743701425985277e-22,5.049791613173669e-22,NA
lme,module_06,log10viral_load,25.167425735646688,0.038511571326905025,5.256254930615563e-7,9.040758480658767e-7,NA
lme,module_06,median_cv_coverage,5.416744317375767,1.5774536269248545,0.01994451631047571,0.028587140045015183,NA
lme,module_07,log10viral_load,14.362845606506903,-0.021925385225195843,1.5074768289311652e-4,2.1607167881346702e-4,NA
lme,module_07,median_cv_coverage,159.68892102608692,4.854879929926988,1.3231703061381088e-36,9.482720527323114e-36,NA
lme,module_08,log10viral_load,30.604714510512704,0.01578159514226692,3.163241682657443e-8,6.182699652466821e-8,NA
lme,module_08,median_cv_coverage,265.5345826193677,-3.6562314341413744,1.0669820060777225e-59,9.176045252268413e-59,NA
lme,module_09,log10viral_load,394.89228714721406,0.5136035884381442,7.125858696606535e-88,3.06411923954081e-86,NA
lme,module_09,median_cv_coverage,3.0736117071419295,2.7240256104799205,0.07957250502156511,0.0950449365535361,NA
lme,module_10,log10viral_load,51.66462980047334,-0.03966434455824611,6.583821640218483e-13,1.4900227922599726e-12,NA
lme,module_10,median_cv_coverage,80.40129260907297,-3.9420772606902688,3.0559523413837897e-19,1.095049588995858e-18,NA
lme,module_11,log10viral_load,21.974481724100972,-0.020315224076158826,2.7629977404481896e-6,4.5695731861258515e-6,NA
lme,module_11,median_cv_coverage,5.206272882704535,-0.908982350206668,0.022505530556623406,0.03121734883660666,NA
lme,module_12,log10viral_load,7.052505356753918,-0.011745818781624045,0.007915446495295247,0.01001071174404987,NA
lme,module_12,median_cv_coverage,375.94445040555075,6.385891738273342,9.504525487619512e-84,1.36231531989213e-82,NA
lme,module_13,log10viral_load,15.649481015405454,0.01672202869618567,7.623349903093839e-5,1.1303587787346037e-4,NA
lme,module_13,median_cv_coverage,905.6277522560024,6.085920811684026,5.867042503148427e-199,2.5228282763538238e-197,NA
lme,module_14,log10viral_load,0.34799775710762754,0.003991451286267451,0.5552487453717558,0.5552487453717558,NA
lme,module_14,median_cv_coverage,17.528598661837002,-2.24643996958987,2.8301843023788936e-5,5.5317238637405646e-5,NA
lme,module_15,log10viral_load,81.70662153347354,0.10232425745848431,1.5786370751584402e-19,6.625615913985257e-19,NA
lme,module_15,median_cv_coverage,5.42591806005628,-1.5482609730100239,0.019840001677307977,0.028587140045015183,NA
lme,module_16,log10viral_load,1.5319931983019255,0.025692828782978776,0.21581354754639365,0.22634103767060798,NA
lme,module_16,median_cv_coverage,4.882183128881864,-3.673276405332895,0.027135277969791798,0.03535808947578931,NA
lme,module_17,log10viral_load,65.66980091072963,-0.0573123443373269,5.33166049037921e-16,1.6375814363307575e-15,NA
lme,module_17,median_cv_coverage,104.261853697514,5.0107295982181945,1.772692895067272e-24,9.528224310986587e-24,NA
lme,module_18,log10viral_load,2.0245635422220434,0.018296879045802777,0.1547733853241215,0.1663813892234306,NA
lme,module_18,median_cv_coverage,5.465324394376596,-2.0239174527813826,0.019397452967419758,0.028587140045015183,NA
lme,module_19,log10viral_load,97.3131090286882,0.04261522453217361,5.91871771191499e-23,3.6357837373192085e-22,NA
lme,module_19,median_cv_coverage,99.3093260191322,-2.9763675240741474,2.159885508769544e-23,1.0319452986343376e-22,NA
lme,module_20,log10viral_load,88.73167655089637,-0.0536828581727948,4.5216640809978314e-21,2.4303944435363344e-20,NA
lme,module_20,median_cv_coverage,34.036707565995464,2.548663805686629,5.4082104330844654e-9,1.2239634138033263e-8,NA
lme,module_21,log10viral_load,21.23054967381207,-0.028270629236278228,4.07221789530852e-6,6.485384055491346e-6,NA
lme,module_21,median_cv_coverage,6.645760345607004,-1.1151912593442626,0.00993920518308359,0.015829104550836828,NA
lme,module_22,log10viral_load,107.24568456193003,-0.09479613225988189,3.9326603217196877e-25,3.382087876678931e-24,NA
lme,module_22,median_cv_coverage,5.06927151781954,1.4270733135971077,0.0243536161879663,0.03272517175257972,NA
lme,module_23,log10viral_load,347.5743315215329,0.07296191769171192,1.4301067587999847e-77,3.074729531419967e-76,NA
lme,module_23,median_cv_coverage,50.623978323994116,-2.195450624853104,1.1186988839761464e-12,2.8296501182926055e-12,NA
lme,module_24,log10viral_load,6.0003192990994005,0.012974860595797631,0.01430328957734602,0.017572612909310826,NA
